Respondent,Gender,Age,T1 B= ToM*,T2 Y = ToM,TOM 1,TOM 2,ToM Both,AOI-Name,Hit time-G (ms),Time spent-G (ms),Time spent-G (%),Respondent ratio-G,Revisit-G (Revisitors),Revisit-G (Visitors),Revisit-G (Revisits),TTFF-F (ms),Time spent-F (ms),Time spent-F (%),Revisit-F (Revisitors),Revisit-F (Visitors),Revisit-F (Revisits),Fixations Count,,,,Respondent,Gender,Age,T1 B= ToM*,T2 Y = ToM,TOM 1,TOM 2,ToM Both,AOI-Name,Hit time-G (ms),Time spent-G (ms),Time spent-G (%),Respondent ratio-G,Revisit-G (Revisitors),Revisit-G (Visitors),Revisit-G (Revisits),TTFF-F (ms),Time spent-F (ms),Time spent-F (%),Revisit-F (Revisitors),Revisit-F (Visitors),Revisit-F (Revisits),Fixations Count
974702,Male,6,Y,R,NO,No,no,ToM2 Eyes,163835,775,22,1,1,1,2,163988,277,8,1,1,2,2,,,,974710,Male,6,Y,Y,NO,ToM,no,ToM2 Eyes,164023,437,12,1,0,1,0,3600,0,0,0,0,0,0
974708,Male,10,Y,R,NO,No,no,ToM2 Eyes,164055,573,16,1,0,1,0,164129,391,11,0,1,0,1,,,,974711,Female,6,Y,Y,NO,ToM,no,ToM2 Eyes,163798,705,20,1,0,1,0,164068,392,11,0,1,0,1
974709,Male,8,Y,R,NO,No,no,ToM2 Eyes,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,,,,974719,Male,8,Y,Y,NO,ToM,no,ToM2 Eyes,163942,847,24,1,1,1,2,163942,704,20,1,1,2,3
974718,Male,11,*,R,NO,No,no,ToM2 Eyes,163974,610,17,1,0,1,0,164015,404,11,0,1,0,2,,,,974724,Male,10,Y,Y,NO,ToM,no,ToM2 Eyes,163912,514,14,1,1,1,2,163912,392,11,1,1,2,2
974721,Male,8,Y,R,NO,No,no,ToM2 Eyes,163857,1189,33,1,1,1,2,163857,490,14,1,1,4,4,,,,974731,Male,8,Y,Y,NO,ToM,no,ToM2 Eyes,164047,1668,46,1,1,1,2,164167,1435,40,0,1,0,1
974726,Male,12,Y,R,NO,No,no,ToM2 Eyes,163594,872,24,1,0,1,0,163675,460,13,1,1,3,3,,,,974738,Female,8,Y,Y,NO,ToM,no,ToM2 Eyes,163618,496,14,1,0,1,0,163618,381,11,0,1,0,2
974727,Female,8,Y,R,NO,No,no,ToM2 Eyes,163585,570,16,1,1,1,2,163701,301,8,1,1,2,2,,,,974742,Female,6,R,Y,NO,ToM,no,ToM2 Eyes,164221,397,11,1,0,1,0,164221,355,10,0,1,0,1
974732,Male,7,Y,R,NO,No,no,ToM2 Eyes,163989,569,16,1,0,1,0,163989,495,14,0,1,0,2,,,,974746,Male,9,Y,Y,NO,ToM,no,ToM2 Eyes,164073,685,19,1,0,1,0,164120,512,14,1,1,2,3
974737,Female,7,Y,R,NO,No,no,ToM2 Eyes,164008,474,13,1,0,1,0,3600,0,0,0,0,0,0,,,,974749,Female,11,Y,Y,NO,ToM,no,ToM2 Eyes,163894,598,17,1,0,1,0,164090,265,7,0,1,0,1
974740,Male,10,B,R,ToM,No,no,ToM2 Eyes,163573,3312,92,1,1,1,2,163859,1722,48,1,1,2,4,,,,974754,Male,6,Y,Y,NO,ToM,no,ToM2 Eyes,164334,245,7,1,0,1,0,164334,209,6,0,1,0,1
974743,Female,8,Y,R,NO,No,no,ToM2 Eyes,164189,280,8,1,0,1,0,3600,0,0,0,0,0,0,,,,974762,Female,7,Y,Y,NO,ToM,no,ToM2 Eyes,163931,815,23,1,0,1,0,164130,551,15,1,1,2,3
974744,Female,6,Y,B,NO,No,no,ToM2 Eyes,164450,215,6,1,0,1,0,164484,107,3,0,1,0,1,,,,974768,Male,6,Y,Y,NO,ToM,no,ToM2 Eyes,0,164,5,1,0,0,0,3600,0,0,0,0,0,0
974745,Male,9,Y,R,NO,No,no,ToM2 Eyes,164112,735,20,1,1,1,2,164112,567,16,1,1,2,2,,,,974778,Male,10,Y,Y,NO,ToM,no,ToM2 Eyes,163598,398,11,1,1,1,2,164105,113,3,0,1,0,1
974751,Male,10,R,R,NO,No,no,ToM2 Eyes,163979,606,17,1,0,1,0,164026,459,13,0,1,0,2,,,,974779,Female,7,Y,Y,NO,ToM,no,ToM2 Eyes,164114,448,12,1,0,1,0,164114,304,8,0,1,0,2
974758,Male,6,Y,R,NO,No,no,ToM2 Eyes,163986,701,19,1,1,1,2,3600,0,0,0,0,0,0,,,,974788,Male,9,Y,Y,NO,ToM,no,ToM2 Eyes,163929,627,17,1,1,1,2,163963,516,14,0,1,0,1
974760,Female,11,Y,R,NO,No,no,ToM2 Eyes,164114,214,6,1,0,1,0,164114,130,4,0,1,0,1,,,,974793,Female,8,Y,Y,NO,ToM,no,ToM2 Eyes,164200,399,11,1,0,1,0,164361,118,3,0,1,0,1
974763,Male,6,Y,R,NO,No,no,ToM2 Eyes,164117,450,12,1,0,1,0,164154,242,7,0,1,0,2,,,,974706,Male,8,B,Y,ToM,ToM,Yes,ToM2 Eyes,163978,448,12,1,0,1,0,3600,0,0,0,0,0,0
974764,Male,8,Y,R,NO,No,no,ToM2 Eyes,163950,767,21,1,1,1,2,163950,670,19,1,1,2,3,,,,974707,Male,7,B,Y,ToM,ToM,Yes,ToM2 Eyes,163930,637,18,1,0,1,0,163930,527,15,0,1,0,2
